Gen;BOKU_1;BOKU_2;BOKU_3;BOKU_4;SKG-I_1;SKG-I_2;SKG-I_3;SKG-I_4
1;973,27340;904,78920;1.062,54100;871,73720;615,44750;563,67160;480,23250;512,46280
2;36,70472;32,70916;37,78925;39,49875;21,84087;22,65625;1,52514;16,41116
3;77,68652;132,12310;102,07290;117,43260;3.351,70500;3.202,05900;4.475,43800;4.565,80700
4;215,83120;207,74860;182,73230;219,63560;378,92880;365,69070;281,68560;179,56440
5;3.169,94300;3.207,82500;2.033,46100;2.506,31500;4.321,55900;4.719,30700;3.435,82500;3.334,17100
6;3,06697;2,21701;1,00000;29,51399;4,76174;2,06717;16,24239;2,73119
7;352,10000;311,12100;285,61900;308,74300;46,76025;42,11825;73,47883;76,02997
8;22,33847;4,43034;13,26181;10,17765;25,86482;2,12512;3,40906;3,73033
9;28,16086;35,52219;63,78014;69,70068;66,18353;61,63875;23,74023;37,25875
10;170,29730;214,68820;322,10400;332,70420;460,83300;372,55090;593,67490;530,44650
11;64,76567;9,76474;9,74139;38,41908;7,88540;3,12121;72,33429;29,78466
12;4,84672;28,22115;18,21175;16,90410;70,28613;78,01136;46,39062;69,44948
13;2,42227;7,52361;32,48998;7,28158;17,70618;24,66541;9,95808;3,84556
14;34,19549;50,46409;42,29375;31,27852;37,60979;47,21173;77,83782;67,40717
15;188,24390;193,59480;203,76140;185,15830;336,89180;288,99530;265,32130;275,18650
16;44,12465;4,50650;3,41766;19,55136;12,28757;22,46068;34,62569;15,68924
17;7,72629;7,84387;1,29884;3,59115;5,72774;1,00000;2,51524;1,00000
18;1,71877;21,04791;17,40709;30,07514;2,23911;3,44380;6,51597;10,57867
19;1,00000;18,86071;1,04216;1,00000;5,24116;1,08560;22,89331;2,61892
20;2,06096;37,70517;54,97763;24,08518;3,60998;1,87303;30,64639;14,39414
21;100,51410;117,48370;74,67858;117,19660;411,34880;277,60900;196,64230;234,95460
22;9,63209;4,29820;1,62717;2,66058;1,80008;4,14322;2,33290;4,17779
23;245,02020;244,06390;274,66780;282,17860;339,21860;319,67250;434,36230;401,54760
24;55,99570;39,82953;4,95555;47,02325;80,93443;84,32276;96,19064;88,22849
25;12,23504;10,79758;12,72255;8,22387;9,94480;11,32995;7,93031;43,28560
26;9,32279;6,01092;3,44445;20,95626;10,36574;40,16843;41,59855;42,38460
27;714,17590;672,99730;682,68900;674,13120;736,34170;691,75740;460,83630;547,79160
28;106,33050;73,18123;106,20230;130,98200;51,58246;37,97117;59,36667;60,58448
29;50,37256;624,07760;339,37890;53,83561;51,12418;29,85012;44,49653;96,28616
30;25,94388;54,42144;26,46608;36,97660;47,45404;42,00499;56,04121;54,97169
31;155,82880;169,16150;182,20590;244,60600;121,18740;97,30312;180,06640;194,18880
32;345,86330;432,51190;277,17820;269,83320;913,31710;914,05790;656,46860;647,79660
33;1.267,59900;1.119,40200;1.351,02300;1.421,80200;1.303,88600;1.514,56600;1.537,01300;1.785,71200
34;4,20661;6,72511;4,03410;1,91966;2,72175;6,17385;5,34533;3,19081
35;32,41765;48,70827;94,89322;82,91787;35,22184;21,01405;22,62413;58,30323
36;94,66127;28,57189;37,04132;131,21300;101,49350;113,74120;141,18150;138,91370
37;189,41300;171,38380;291,09470;268,92400;244,44450;189,55170;188,53990;166,16870
38;683,44210;677,14650;842,88180;1.034,51900;1.007,10000;801,28770;1.106,22600;819,70360
39;129,80570;103,55460;163,19310;106,99230;163,05510;176,32220;137,30530;199,77140
40;9,34037;27,77426;8,85089;39,01632;21,47968;25,40218;7,94053;2,32451
41;3,83710;31,50195;3,93636;3,70789;5,78513;13,73554;36,49750;11,26584
42;99,87674;64,75969;60,69567;54,39672;47,04427;11,91877;62,61825;95,81599
43;604,57820;437,66080;535,36480;422,59870;768,06450;536,23950;603,71550;435,19980
44;31,38586;40,84439;3,15278;43,20025;24,49897;4,66721;8,44163;3,76708
45;48,03535;4,70883;9,17893;92,41892;13,35239;42,09206;34,84444;50,42434
46;2.205,72700;2.338,66900;1.540,47900;1.679,98400;1.218,98900;1.253,20800;825,93810;852,26690
47;4,10838;2,44058;1,03730;2,74763;1,82429;2,86960;2,11425;3,73294
48;643,77550;557,57300;559,24740;482,90220;1.229,71600;1.253,31800;1.323,87200;1.474,66500
49;1.483,87600;1.496,29600;1.645,79200;1.598,12300;1.323,17300;1.326,86700;1.249,69300;1.262,82000
50;101,79930;69,49960;144,62890;103,58010;87,61214;83,29380;131,18890;89,28022
51;43,55225;47,00155;26,03973;35,07756;28,48832;9,48049;7,06708;8,73644
52;63,47177;70,46494;72,52540;75,13136;78,05357;94,28949;105,72230;140,86940
53;88,43540;111,02970;85,56090;96,10101;83,96353;54,64226;48,19756;75,78097
54;2,78074;10,18684;12,69109;7,57332;8,50103;20,42783;3,21532;4,26918
55;82,68886;99,30512;359,87200;350,92980;68,55205;105,08020;316,64670;227,30880
56;20,62139;8,75340;25,92666;29,49279;6,00950;20,06385;2,16412;1,81243
57;6,22400;22,47905;23,59845;2,11807;2,70525;16,77579;30,64579;4,19484
58;16,33031;5,60125;3,51353;35,97884;12,11048;4,77611;16,18421;3,33641
59;19,65879;25,02026;6,12227;18,89503;117,70250;106,73140;80,33077;96,37406
60;6,81200;32,09916;4,08909;34,79565;38,80394;41,05376;34,41595;33,33365
61;14,93831;3,21244;27,04716;5,50941;24,92994;5,60783;12,10745;19,49116
62;4,83129;2,06930;5,07226;2,30770;26,08648;4,69940;6,14980;2,67690
63;32,86944;40,56663;37,27657;27,90733;48,16288;10,23927;8,76757;26,34956
64;2,31497;1,00000;2,15410;4,97164;1,96759;4,55002;2,38648;1,13744
65;24,47266;1,93471;2,13691;12,83791;12,45746;8,49661;21,45080;2,14867
66;1.592,51200;2.013,96000;818,23170;1.022,26500;3.305,55200;3.163,45900;1.352,66100;1.446,25900
67;4,75471;7,43759;3,65472;5,20817;74,91350;44,44759;87,52862;33,45923
68;45,37618;7,88018;12,79409;6,71334;6,16209;52,87769;4,97219;5,36525
69;4,84805;12,42478;5,32631;4,00981;4,51867;11,50881;54,35377;13,94558
70;94,39719;72,47025;171,51080;190,44100;376,20340;291,68630;465,87920;425,46430
71;401,86280;269,53560;405,02360;366,29610;430,38720;461,83500;547,80510;561,47700
72;8,30903;48,43033;94,32664;67,42970;15,04251;24,47769;63,31054;26,69855
73;1.600,99700;1.657,72000;2.060,61800;1.933,41900;841,90450;881,06120;1.884,96200;1.987,68000
74;5,84090;4,44579;25,56787;5,92925;711,75340;784,78050;392,07850;344,02810
75;65,48594;61,26429;29,51487;30,77039;94,69940;145,54900;61,40132;88,04555
76;72,44976;87,48840;41,37007;62,15529;98,24431;132,38670;49,23409;51,47363
77;36,48003;13,91417;29,05309;36,36549;23,30611;43,77536;11,12494;5,49422
78;2.544,17700;2.587,82500;3.207,25800;3.246,48100;1.900,34000;1.590,79200;2.362,19300;2.497,20300
79;1.004,04000;1.189,64200;991,14620;1.172,48500;1.167,97900;1.188,30800;1.011,53500;995,91630
80;52,07177;59,60289;118,32260;86,38371;510,78260;572,96540;321,40000;378,81500
81;85,95259;134,88410;8,51735;11,78228;53,54219;15,94462;6,52646;5,43718
82;59,25021;57,81467;53,39807;55,54322;47,41084;31,25625;85,49970;78,11482
83;11,82396;28,29799;19,99486;9,71228;14,15077;20,23881;25,23275;17,38000
84;1,48577;20,67826;1,00000;1,76496;22,40480;9,11735;5,25533;1,72602
85;16,52751;2,03623;23,26683;12,56726;1,88328;11,78022;15,04310;19,66668
86;6,63987;2,96580;4,73904;3,84894;8,19527;6,68303;19,61360;15,84253
87;13,63903;6,64391;3,06261;3,41868;6,77638;42,18640;3,91601;5,36878
88;224,15200;383,45190;178,36080;289,99840;234,23140;200,33560;138,06680;99,96306
89;182,04570;172,51810;188,75380;251,70400;99,63610;150,07160;97,14468;115,29720
90;87,64365;80,51863;112,62780;132,26080;210,07380;126,26130;148,23940;76,11593
91;6,17942;6,36770;3,67285;31,00508;12,95521;3,65257;10,62341;6,58332
92;71,52338;35,63007;69,55007;54,24641;48,28434;32,04751;51,62638;66,65601
93;230,43670;249,90130;281,61140;293,53950;290,61790;339,89310;212,92050;216,88080
94;5,71225;1,83981;8,04958;4,84515;14,08375;10,92431;4,16316;2,17331
95;10,33271;7,50056;26,88842;48,24796;39,17256;17,30072;7,61914;4,91715
96;8,94154;21,95736;26,65650;1,50205;4,90178;28,20814;12,14314;40,37082
97;21.315,00000;21.506,40000;24.900,29000;35.191,94000;8.623,98700;11.585,55000;22.156,33000;20.978,34000
98;3.634,79300;3.823,54900;3.491,39100;3.475,21500;4.030,21600;3.954,44100;3.087,85000;3.252,91700
99;24,15087;28,84738;34,09352;23,39963;124,13930;104,51420;74,13749;52,46252
100;149,22110;74,93940;146,55180;109,07070;155,66330;92,78043;168,37630;191,10850
101;473,59240;368,00500;434,56850;280,80270;244,89840;160,86060;227,79820;166,19260
102;107,73740;116,96880;45,51334;59,23911;7,04238;4,07508;4,74855;4,78210
103;113,70520;75,78619;75,43695;99,08749;80,41374;79,86794;110,23170;111,25360
104;1.255,85800;1.332,82900;1.917,14500;1.903,94000;1.939,92900;2.114,59400;3.080,33500;2.766,01700
105;2,59344;2,30133;1,00000;1,86477;2,32064;21,61153;6,67672;14,28001
106;34,46191;6,09372;51,37715;45,80813;99,45185;114,94020;44,16353;61,77380
107;1,00000;2,41885;26,75372;14,58371;5,42019;2,75207;7,71357;10,11184
108;127,80990;100,46790;142,77970;150,66830;185,83130;108,44170;44,62513;84,71265
109;19,77070;18,11788;7,20998;10,34303;13,32381;30,24594;17,17130;22,04047
110;25,90080;36,57400;1,78204;16,45734;15,97734;11,13759;23,93755;3,97232
111;272,08510;150,74780;210,07690;153,58980;94,56172;45,51504;59,42960;19,87266
112;4,48107;1,39920;2,26420;2,64872;2,01689;2,54641;10,10401;21,69595
113;15,90384;60,16633;42,34960;13,94549;80,60442;33,64771;49,24441;47,93216
114;47,31110;34,33414;53,30530;6,73753;32,35727;37,54330;28,13330;50,15625
115;7,05952;27,26292;14,73919;13,25776;31,71064;7,08509;5,95037;7,81708
116;20,39261;25,39852;27,82121;11,45635;18,69137;22,03485;6,21903;9,97748
117;28,65074;63,91283;56,92329;55,39859;48,42446;61,70251;102,81030;96,40267
118;2.368,32400;2.694,28700;2.254,89500;2.413,46500;169,61380;130,19320;88,08843;75,61151
119;52,39660;50,18802;57,95688;51,77778;74,87309;71,67232;65,32306;45,09781
120;18,44607;22,55905;40,60670;49,33397;4,49959;31,99956;25,08269;35,09489
121;191,73790;170,89430;182,03190;209,16160;327,59000;239,86910;296,06200;326,12970
122;1.018,35500;926,11110;902,70220;1.100,42200;1.307,44300;1.113,25100;832,26320;829,59090
123;15,01683;38,15697;41,72796;5,08591;8,39526;55,23393;48,79120;14,12639
124;121,28650;145,64110;59,83454;47,95578;36,69783;19,46107;35,04015;42,07524
125;3.353,98600;3.388,46800;2.707,76500;2.765,95000;2.312,95700;2.126,43000;2.225,09300;2.039,42400
126;3,94539;4,21888;2,98422;2,13035;1,60999;2,29989;2,50615;3,07056
127;5,35157;20,08457;17,96759;31,69050;27,52987;2,42605;2,26230;20,07992
128;2.297,98800;2.214,91100;1.914,96200;1.856,59300;2.208,98000;1.908,99300;1.991,16600;1.830,15900
129;1,71390;14,27826;18,69912;3,08699;22,29415;2,26712;6,02241;3,06131
130;31,06526;17,11470;4,66529;3,56922;4,42489;8,10212;8,82036;1,00000
131;302,37130;260,11730;458,97980;400,75360;155,31280;194,00500;226,86880;299,26150
132;85,61389;117,80880;117,70780;45,51231;129,94730;48,74567;69,10609;107,64610
133;796,00130;1.106,32000;836,23700;817,40510;1.108,68600;1.141,14400;658,46220;739,13420
134;30,56324;29,62702;27,55592;44,51397;24,08178;14,15536;20,71751;30,96964
135;21,04334;1,63421;18,35213;8,14391;1,00000;9,84273;2,36515;8,82507
136;4,83502;5,12323;2,67781;11,10159;5,05774;3,44010;4,00489;4,24753
137;28,73819;34,97647;39,83244;62,24894;49,07874;53,72235;34,96593;16,14412
138;149,68230;176,16220;154,85650;111,49300;227,76120;229,57140;169,26440;132,23550
139;11,37387;4,37866;1,31523;2,51819;10,96572;1,95502;1,40693;1,00000
140;449,15380;498,00280;1.064,15200;1.077,40000;118,13690;139,95810;310,78150;317,76760
141;55,36980;105,29160;107,14070;77,89233;50,60063;28,18904;49,76963;39,44098
142;4,38715;18,33038;1,00000;1,08117;9,42235;1,57591;1,00000;1,00000
143;2,53068;5,86181;2,47150;1,42612;2,93746;5,55810;2,74257;1,50667
144;46,90899;15,76436;7,24845;26,27203;10,55883;10,25437;35,97388;14,95222
145;7,07283;17,65530;40,22932;7,28972;2,17860;44,08490;4,05021;4,65803
146;30,04479;18,54235;18,38896;15,08079;30,65434;23,91265;23,02463;40,94090
147;102,00140;46,35098;111,87050;131,98130;10,54376;29,58106;83,24005;63,32912
148;5,80774;15,65605;182,91200;160,77520;48,43947;88,75689;484,56900;541,16310
149;61,36324;97,50207;216,34860;182,04130;152,39000;136,14120;152,58650;141,79990
150;43,37893;72,16433;49,77412;64,05518;35,90417;49,20336;9,68960;56,61007
151;900,79480;799,90640;650,21020;649,34670;954,98210;947,35560;749,01350;697,16210
152;278,91440;311,66750;370,35760;336,16330;801,90630;823,18570;622,12100;620,77280
153;12,72726;3,43335;31,73968;17,14960;1,72194;5,99531;24,81171;7,26847
